SPECIES,HUC12,FREQUENCY,Habitat_Miles
Brown trout,170102021104,1,3
Brown trout,170102021202,8,11
Brown trout,170102021203,2,4
Brown trout,170102021204,3,2
Brown trout,170102021205,4,7
Brown trout,170102021206,1,0
Brown trout,170102021207,1,1
Brown trout,170102021208,3,8
Brown trout,170102021209,1,1
Brown trout,170102021210,3,7
Brown trout,170102021301,3,10
Brown trout,170102021302,2,2
Brown trout,170102021303,7,13
Brown trout,170102021304,1,1
Brown trout,170102021305,4,4
Brown trout,170102021306,4,10
Brown trout,170102021402,3,11
Brown trout,170102021403,4,5
Brown trout,170102021404,2,9
Brown trout,170102021405,3,8
Brown trout,170102030104,2,5
Brown trout,170102030201,1,1
Brown trout,170102030202,3,5
Brown trout,170102030204,2,1
Brown trout,170102030205,3,2
Brown trout,170102030206,3,7
Brown trout,170102030302,3,6
Brown trout,170102030303,3,6
Brown trout,170102030304,5,6
Brown trout,170102030305,1,1
Brown trout,170102030306,4,6
Brown trout,170102030307,2,2
Brown trout,170102030308,16,24
Brown trout,170102030309,2,2
Brown trout,170102030310,8,19
Brown trout,170102030406,4,3
Brown trout,170102030407,3,6
Brown trout,170102030415,17,23
Brown trout,170102030703,14,12
Brown trout,170102030706,8,14
Brown trout,170102030803,7,6
Brown trout,170102030804,7,11
Brown trout,170102030902,3,1
Brown trout,170102030903,6,27
Brown trout,170102030905,14,15
Brown trout,170102030906,6,4
Brown trout,170102030907,9,8
Brown trout,170102030908,1,2
Brown trout,170102030909,12,13
Brown trout,170102030910,5,9
Brown trout,170102031002,3,5
Brown trout,170102031003,2,2
Brown trout,170102031004,12,5
Brown trout,170102031102,3,5
Brown trout,170102031103,4,5
Brown trout,170102031104,16,8
Brown trout,170102031105,4,4
Brown trout,170102031106,1,3
Brown trout,170102031107,10,11
Brown trout,170102031108,7,2
Brown trout,170102031201,5,4
Brown trout,170102031202,5,8
Brown trout,170102031203,2,6
Brown trout,170102031205,3,5
Brown trout,170102031206,7,5
Brown trout,170102031207,5,15
Brown trout,170102031301,5,4
Brown trout,170102031302,6,4
Brown trout,170102031303,7,8
Brown trout,170102031307,12,11
Brown trout,170102031308,4,9
Brown trout,170102040102,14,12
Brown trout,170102040103,5,6
Brown trout,170102040104,9,20
Brown trout,170102040205,1,9
Brown trout,170102040208,8,9
Brown trout,170102040209,4,3
Brown trout,170102040210,2,15
Brown trout,170102040301,8,6
Brown trout,170102040302,16,14
Brown trout,170102040303,18,12
Brown trout,170102040304,12,10
Brown trout,170102040305,2,10
Brown trout,170102040401,3,1
Brown trout,170102040403,1,0
Brown trout,170102040404,1,0
Brown trout,170102040405,12,6
Brown trout,170102040503,1,0
Brown trout,170102040506,2,0
Brown trout,170102040507,1,4
Brown trout,170102040508,5,9
Brown trout,170102040601,3,11
Brown trout,170102040602,2,10
Brown trout,170102040603,2,4
Brown trout,170102040606,2,6
Brown trout,170102040607,7,5
Brown trout,170102040608,11,10
Brown trout,170102040609,3,5
Brown trout,170102040611,3,4
Brown trout,170102040612,2,5
Brown trout,170102040701,3,5
Brown trout,170102040702,1,0
